ensembl_gene_id	humantfs_gene_name	ensembl_transcript_id	tf_family	n_dbd
ENSG00000001167	NFYA	ENST00000341376	CBF/NF-Y	1
ENSG00000004848	ARX	ENST00000379044	Homeodomain	1
ENSG00000005073	HOXA11	ENST00000006015	Homeodomain	1
ENSG00000005073	HOXA11	ENST00000517402	Homeodomain	1
ENSG00000005102	MEOX1	ENST00000318579	Homeodomain	1
ENSG00000005102	MEOX1	ENST00000549132	Homeodomain	0
ENSG00000005513	SOX8	ENST00000293894	HMG/Sox	1
ENSG00000005801	ZNF195	ENST00000005082	C2H2 ZF	9
ENSG00000005801	ZNF195	ENST00000354599	C2H2 ZF	9
ENSG00000005801	ZNF195	ENST00000399602	C2H2 ZF	9
ENSG00000005801	ZNF195	ENST00000526601	C2H2 ZF	9
ENSG00000005801	ZNF195	ENST00000528410	C2H2 ZF	1
ENSG00000005889	ZFX	ENST00000379177	C2H2 ZF	13
ENSG00000005889	ZFX	ENST00000539115	C2H2 ZF	13
ENSG00000005889	ZFX	ENST00000428571	C2H2 ZF	0
ENSG00000005889	ZFX	ENST00000419690	C2H2 ZF	0
ENSG00000006047	YBX2	ENST00000007699	CSD	1
ENSG00000006194	ZNF263	ENST00000219069	C2H2 ZF	9
ENSG00000006194	ZNF263	ENST00000538765	C2H2 ZF	9
ENSG00000006194	ZNF263	ENST00000574674	C2H2 ZF	2
ENSG00000006194	ZNF263	ENST00000572748	C2H2 ZF	0
ENSG00000006194	ZNF263	ENST00000574253	C2H2 ZF	0
ENSG00000006194	ZNF263	ENST00000575823	C2H2 ZF	0
ENSG00000006377	DLX6	ENST00000518156	Homeodomain	1
ENSG00000006377	DLX6	ENST00000555308	Homeodomain	1
ENSG00000006468	ETV1	ENST00000399357	Ets	1
ENSG00000006468	ETV1	ENST00000403527	Ets	1
ENSG00000006468	ETV1	ENST00000403685	Ets	1
ENSG00000006468	ETV1	ENST00000405192	Ets	1
ENSG00000006468	ETV1	ENST00000420159	Ets	1
ENSG00000006468	ETV1	ENST00000430479	Ets	1
ENSG00000006468	ETV1	ENST00000438956	Ets	1
ENSG00000006704	GTF2IRD1	ENST00000265755	GTF2I-like	5
ENSG00000006704	GTF2IRD1	ENST00000424337	GTF2I-like	5
ENSG00000006704	GTF2IRD1	ENST00000455841	GTF2I-like	5
ENSG00000006704	GTF2IRD1	ENST00000476977	GTF2I-like	5
ENSG00000007372	PAX6	ENST00000241001	Homeodomain; Paired box	2
ENSG00000007372	PAX6	ENST00000379109	Homeodomain; Paired box	2
